biot,intervals,moisture_centre,moisture_surface,moisture_mean,temperature_centre,temperature_surface
0.5,10,0.0003089155455515691,0.0034424856908976675,0.00022600684732443366,0.0003089155337242744,0.0034424857083662276
0.5,20,7.892879669735287e-05,0.000753556186695592,5.650962119729819e-05,7.892878324664566e-05,0.0007535561991341311
0.5,40,1.9854920003115062e-05,0.00018416032616241917,1.4127884608639008e-05,1.985490656934985e-05,0.0001841603364207245
0.5,80,4.972519945800613e-06,4.579739872612176e-05,3.532000090622489e-06,4.972506065925586e-06,4.579741235808399e-05
0.5,160,1.2437064693671118e-06,1.1434512461994117e-05,8.830010470584071e-07,1.2436933021220398e-06,1.1434524507869526e-05
5.0,10,0.0023183007430406244,0.006115353167453819,0.003064161085089445,0.0023183007220918483,0.0061153532015474354
5.0,20,0.0005889478400226134,0.000996849383963161,0.0007765398508163823,0.0005889478175093998,0.0009968494044514387
5.0,40,0.00014787045572384194,0.00023662154811154856,0.0001942311303104738,0.0001478704323726987,0.00023662156623736053
5.0,80,3.701110604625857e-05,5.8451588484609296e-05,4.856153503407512e-05,3.7011082207172305e-05,5.845160905266766e-05
5.0,160,9.255715761491423e-06,1.4570044060913112e-05,1.2140587013265147e-05,9.25569188545694e-06,1.4570064058894161e-05
50.0,10,0.004388465983610201,0.0074731971431827166,0.012252447213680684,0.004388465958022536,0.007473197128523523
50.0,20,0.001108977262412436,0.0016281748798912393,0.002937907475253687,0.001108977237104547,0.0016281748646926886
50.0,40,0.00027799083231949684,0.0003972897042529011,0.0007285744274834194,0.0002779908070170478,0.0003972896888164712
50.0,80,6.954681499882209e-05,9.876234486570767e-05,0.00018179257188633002,6.954678972981299e-05,9.8762329499813e-05
50.0,160,1.7389946444845705e-05,2.465622465998296e-05,4.54264501205115e-05,1.7389921641353112e-05,2.4656209347861945e-05
