label,question,intervals,interface_strategy,include_end_faces,length_scaling,plateau_mode,integrator,end_time_s,event_time_s,event_hours,elapsed_s,step_count,min_step_s,max_step_s,final_max_moisture,moisture_min,temperature_max_c,moisture_monotone
dt≤0.5 s,4,40,midpoint,True,constant,fixed,heun,126767.71808098665,126767.71808098665,35.21325502249629,150.04712469999959,559356,0.00010866143566090614,0.5,0.15,0.05259933246627153,50.05560978739901,True
dt≤0.25 s,4,40,midpoint,True,constant,fixed,heun,126767.71819993621,126767.71819993621,35.213255055537836,158.2652422000001,588400,0.00010866354568861425,0.25,0.15,0.05259933246627375,50.05560980949378,True
dt≤0.125 s,4,40,midpoint,True,constant,fixed,heun,126767.71837683431,126767.71837683431,35.2132551046762,251.7993266000003,1014142,0.125,0.125,0.15,0.05259933246627293,50.055609829802385,True
