temperature_c,time_min,x_db,err_low,err_high,pass_a,pass_b,difference,gate,digitization_sigma,included
70.0,0,3.4364,0.3162,0.3162,3.4364,3.4364,0.0,0.0344,0.0825,True
70.0,15,2.4605,0.0825,0.0825,2.4605,2.4605,0.0,0.03,0.0825,True
70.0,30,1.9107,0.1649,0.1924,1.9107,1.9107,0.0,0.03,0.0825,True
70.0,45,1.6082,0.055,0.0962,1.6082,1.6082,0.0,0.03,0.0825,True
70.0,60,1.4296,0.1512,0.1787,1.4296,1.4296,0.0,0.03,0.0825,True
70.0,90,0.921,0.1924,0.055,0.921,0.921,0.0,0.03,0.0825,True
70.0,120,0.6323,0.0962,0.0687,0.6323,0.6323,0.0,0.03,0.0825,True
70.0,150,0.6873,0.0962,0.1237,0.6873,0.6873,0.0,0.03,0.0825,True
70.0,180,0.3986,0.2474,0.2474,0.3986,0.3986,0.0,0.03,0.0825,True
